Timestamp,LNG_before_optimized,Delta,311F003.PNT,final_LNG_optimized,315FC005.MEAS,315FC011.MEAS,315FC012.MEAS,315FC013.MEAS,315FC020.MEAS,315FC021.MEAS,315FC022.MEAS,315FC026.MEAS,315FC750.MEAS,315FC031.MEAS,315FC751.MEAS,312FQ011.MEAS,314FC753.MEAS
2022-01-02 14:00:00,5608.976,299.5792404,6208.078613,5785.47925612508,15.42517885,0.0,0.003271484,0.008069662,0.0,,0.0,0.0,-0.053291668,59.0215416,49.95880572,0.89132345,176.3221919
2022-01-02 15:00:00,5603.1357,357.055882,6252.932048,5818.639550051822,16.1254975,0.0,0.000654297,0.006761068,0.0,-4.27550292,0.0,0.0,-0.043299481,55.22452164,43.1863753,0.610607845,185.9417547
2022-01-02 16:00:00,5620.4727,306.6661694,6214.21346,5801.506871412542,15.39171918,0.0,0.002835287,0.01046875,0.0,-4.29153347,0.0,0.0,-0.064116539,58.9141051,46.26741282,0.700003154,181.2955958
2022-01-02 17:00:00,5659.368,408.4862803,6313.752604,5953.023119535805,15.31874021,0.0,0.0,0.008287761,0.0,,0.0,0.0,-0.054957033,51.95551936,36.30357679,0.351520335,187.2817485
2022-01-02 18:00:00,5608.8403,316.5995792,6184.554769,5796.388456113962,15.46249421,0.0,6.643948714,0.006761068,0.0,,0.0,0.0,-0.053291668,41.92708397,10.76168799,0.0001125,182.97332
2022-01-02 19:00:00,5604.0376,356.7749783,6209.825521,5817.976821255228,15.96948846,0.0,0.0,0.009596354,0.0,,0.0,0.0,-0.054957034,40.2644132,11.73506665,0.000871875,188.4703013
2022-01-02 20:00:00,5601.8843,313.7809795,6197.677816,5787.292232430204,16.22436253,0.0,11.3638285,0.009814453,0.0,,0.0,0.0,-0.051626304,45.40441132,15.15784995,1.344332857,189.8346507
2022-01-02 21:00:00,5617.3037,370.67399,6240.581136,5853.812503134888,15.36528142,0.0,0.000218099,0.007415365,0.0,,0.0,0.0,-0.04996094,52.02627055,13.05684074,0.298589063,187.2518082
2022-01-02 22:00:00,5670.9463,396.2011372,6304.814453,6042.881057360835,16.50897884,0.0,12.46370157,0.008069662,0.0,,0.0,0.0,-0.048295576,54.92055066,16.14452632,0.769781272,198.6508535
2022-01-02 23:00:00,5648.13,321.4558197,6315.580892,5828.240855084433,17.9951237,0.0,0.001090495,0.005670573,0.0,-4.328174114,0.0,0.0,-0.037470705,53.49895986,113.3813586,0.47785782,197.9192301
2022-01-03 00:00:00,5583.63,388.0462893,6267.639567,5865.9738578388005,14.91763401,0.0,0.0,0.008069662,0.0,,0.0,0.0,-0.049128257,52.82681592,16.65781116,0.325293757,181.9545517
2022-01-03 01:00:00,5660.5635,360.8912255,6239.240479,5851.942452068258,16.61321402,0.0,6.538825035,0.003271484,0.0,,0.0,0.0,-0.046630211,54.72139676,23.65363884,0.459182819,185.3720118
2022-01-03 02:00:00,5668.399,402.592684,6336.951335,5934.916045217295,16.62629477,0.0,0.000436198,0.009814454,0.0,,0.0,0.0,-0.03580534,53.96539815,42.03879929,0.424743753,205.8311666
2022-01-03 03:00:00,5623.677,354.059533,6252.688395,5827.996838391018,16.7911164,0.0,0.0,0.008069662,0.0,,0.0,0.0,-0.058287763,52.90936025,35.96581904,0.741895345,191.1803945
2022-01-03 04:00:00,5641.183,321.7684974,6239.281006,5859.33713148804,15.37657213,0.0,0.0,0.00414388,0.0,,0.0,0.0,-0.059120446,55.819362,36.28894901,0.262434383,199.9291356
2022-01-03 05:00:00,5666.5874,394.4445585,6290.513184,5977.467928380164,16.27833875,0.0,3.967002074,0.005670573,0.0,-4.328174114,0.0,0.0,-0.064116539,53.86713282,34.82755025,0.425784381,190.4008789
